class_id,class_name,class_code
385,News agency activities,J6391
386,"Other information service activities, n.e.c.",J6399
387,Central banking,K6411
388,Other monetary intermediation,K6419
389,Activities of holding companies,K6420
390,"Trusts, funds and other financial vehicles",K6430
391,Financial leasing,K6491
392,Other credit granting,K6492
393,Pawnshop operations,K6493
394,"Other financial service activities, except insurance and pension funding activities, n.e.c.",K6499
395,Life insurance,K6511
396,Non-life insurance,K6512
397,Reinsurance,K6520
398,Pension funding,K6530
399,Administration of financial markets,K6611
400,Security and commodity contracts brokerage,K6612
401,Foreign exchange dealing,K6613
402,Other activities auxiliary to financial service activities,K6619
403,Risk and damage evaluation,K6621
404,Activities of insurance agents and brokers,K6622
405,Pre-need plan acitivities,K6623
406,Other activities auxilary to insurance and pension funding,K6629
407,Fund management activities,K6630
408,"Real estate buying, selling, renting, leasing and operating of self-owned/leased apartment buildings, non-residential and dwellings",L6811
409,"Real estate buying, developing, subdividing and selling",L6812
410,"Cemetery and columbarium development, selling, renting, leasing and operating of self-owned cemetery/columbarium (including burial crypt)",L6813
411,Renting or leasing services of residential properties,L6814
412,Other real estate activities with own or leased property,L6819
413,Real estate activities on a fee or contract basis,L6820
414,Legal activities,M6910
415,"Accounting, bookkeeping and auditing activities; tax consultancy",M6920
416,Activities of head offices,M7010
417,Management consultancy activities,M7020
418,Architectural and engineering activities and related technical consultancy,M7110
419,Technical testing and analysis,M7120
420,Research and experimental development on natural sciences and engineering,M7210
421,Research and experimental development on social sciences and humanities,M7220
422,Research and experimental development in information technology,M7230
423,Advertising,M7310
424,Market research and public opinion polling,M7320
425,Specialized design activities,M7410
426,Photographic activities,M7420
427,"Other professional, scientific and technical activities, n.e.c.",M7490
428,Veterinary activities,M7500
429,Renting and leasing of motor vehicles,N7710
430,Renting and leasing of recreational and sports goods,N7721
431,Renting of video tapes and disks,N7722
432,Renting and leasing of other personal and household goods,N7729
433,"Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",N7730
434,"Leasing of intellectual property and similar products, except copyrighted works",N7740
435,Activities of employment placement agencies,N7810
436,Temporary employment agency activities,N7820
437,Other human resources provision,N7830
438,Travel agency activities,N7911
439,Tour operator activities,N7912
440,Other reservation service and related activities,N7990
441,Private security activites,N8010
442,Security systems service activities,N8020
443,Investigation activities,N8030
444,Combined facilities support activities,N8110
445,General cleaning of buildings,N8121
446,Other building and industrial cleaning activities,N8129
447,Landscape care and maintenance service activities,N8130
448,Combined office administrative service activities,N8211
449,"Photocopying, document preparation and other specialized office support activities",N8219
450,Call centers activities (Voice),N8221
451,Back-office operations activities (Non-voice),N8222
452,Other non-voice related activities,N8229
453,Organization of conventions and trade shows,N8230
454,Activities of collection agencies and credit bureaus,N8291
455,Packaging activities,N8292
456,"Other business support service activities, n.e.c.",N8299
457,General public administration activities,O8411
458,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O8412
459,Regulation of and contribution to more efficient operation of businesses,O8413
460,Foreign affairs,O8421
461,Defense activities,O8422
462,Public order and safety activities,O8423
463,Compulsory social security activities,O8430
464,Pre-primary/pre-school education (for children without special needs),P8511
465,Pre-primary education for children with special needs,P8512
466,Primary/elementary education (for children without special needs),P8521
467,Primary/elementary education for children with special needs,P8522
468,General secondary education for children without special needs,P8531
469,General secondary education for children with special needs,P8532
470,Technical and vocational secondary education for children without special needs,P8533
471,Technical and vocational secondary education for children with special needs,P8534
472,Higher education,P8540
473,Sports and recreation education,P8551
474,Cultural education,P8552
475,Other education n.e.c.,P8559
476,Educational support services,P8560
477,"Public hospitals, sanitaria and other similar activities",Q8611
478,"Private hospitals, sanitaria and other similar activities",Q8612
479,"Public medical, dental and other health activities",Q8621
480,"Private medical, dental and other health activities",Q8622
481,Other human health activities,Q8690
482,Residential nursing care facilities,Q8710
483,"Residential care activities for mental retardation, mental health and substance abuse",Q8720
484,Residential care activities for the elderly and disabled,Q8730
485,"Other residential care activities, n.e.c.",Q8790
486,Social work activities without accommodation for the elderly and disabled,Q8810
487,"Other social work activities without accommodation, n.e.c.",Q8890
488,"Creative, arts and entertainment activities",R9000
489,Library and archives activities,R9101
490,Museums activities and operation of historical sites and buildings,R9102
491,Botanical and zoological gardens and nature reserves activities,R9103
492,Gambling and betting activities,R9200
493,Operation of sports facilities,R9311
494,Activities of sports clubs,R9312
495,Other sports activities,R9319
496,Activities of amusement parks and theme parks,R9321
497,"Other amusement and recreation activities, n.e.c.",R9329
498,Activities of business and employers membership organizations,S9411
499,Activities of professional membership organizations,S9412
500,Activities of trade unions,S9420
501,Activities of religious organizations,S9491
502,Activities of political organizations,S9492
503,"Activities of other membership organizations, n.e.c.",S9499
504,Repair of computers and peripheral equipment,S9511
505,Repair of communications equipment,S9512
506,Repair of consumer electronics,S9521
507,Repair of household appliances and home and garden equipment,S9522
508,Repair of footwear and leather goods,S9523
509,Repair of furniture and home furnishings,S9524
510,"Repair of personal and household goods, n.e.c.",S9529
511,"Personal services for wellness, except sports activities",S9610
512,Washing and dry cleaning of textile and fur products,S9621
513,Funeral and related activities,S9630
514,Domestic services,S9640
515,"Other personal service activities, n.e.c.",S9690
516,Activities of households as employers of domestic personnel,T9700
517,Undifferentiated goods-producing activities of private households for own use,T9810
518,Undifferentiated services-producing activities of private households for own use,T9820
519,Activities of extra-territorial organizations and bodies,U9901
520,Activities of other international organizations,U9909
